customer_id,full_name,state,preferred_channel,lifetime_value,order_count,avg_satisfaction_score,total_support_tickets,customer_segment,satisfaction_level
4c30e132-0704-4459-a509-9eddde934977,Mark Johnson,Texas,unknown,3565.7200000000003,3,5.0,1,High Value,Satisfied
68bec407-275f-4b5b-9a82-13d02f54626a,Robert Smith,Texas,in-store,7906.1325,9,,0,High Value,At Risk
4466459f-76c8-433c-814e-6d59cb4131fc,Jamie Chavez,Michigan,online,3820.41,4,,0,High Value,At Risk
04c36a25-02f3-462c-92b0-6bf291c57706,Thomas Bradley,Texas,both,1818.5500000000002,5,5.0,1,High Value,Satisfied
e916df3d-c3f5-40b0-8ae2-5d043be88300,Jane Ferrell,Georgia,online,7742.875,14,,0,High Value,At Risk
0709fd3c-d251-486e-8864-4b18dcd01e57,Jacqueline Martin,California,in-store,5607.5205000000005,6,,0,High Value,At Risk
d7c50fae-43b8-4945-86f8-b8f9d4d2d71a,Jennifer Powers,Arizona,in-store,2661.2870000000003,6,,0,High Value,At Risk
d61d8f7b-c2d0-4548-9f3b-da16dc3146ad,David Kennedy,Arizona,in-store,3188.696,5,4.0,1,High Value,Satisfied
fd54988d-3cca-4a02-9254-b4fa7a2d5451,Anthony Kidd,New York,online,897.808,1,4.0,1,Medium Value,Satisfied
a960dd54-ee35-4731-b29e-d8de6c5793dc,Jonathan Farrell,New York,in-store,10383.106,9,4.0,1,High Value,Satisfied
e5249c67-3787-4ee6-ac59-f8d74639244b,James Powers,California,online,3294.3550000000005,8,4.0,1,High Value,Satisfied
dd0f406f-fb31-4d7c-b3ed-c59f45bf8f96,Tara Garcia,Ohio,online,5550.800000000001,10,3.0,1,High Value,Neutral
359110d0-d634-4b39-8fef-36111b3742d2,Ashley Landry,Washington,online,4453.871999999999,10,,0,High Value,At Risk
35dfe82b-dd9b-4841-821d-c6ca82c646eb,Christopher Middleton,Georgia,both,7082.220499999999,9,,0,High Value,At Risk
dc46a263-7457-4572-a9d8-5eaaa2284b96,Beverly Terrell,Virginia,in-store,2190.036,4,,0,High Value,At Risk
426c4dcd-d40d-4e1f-ac0b-e11708b7f8c3,Melissa Spencer,California,online,5784.527315913444,6,,0,High Value,At Risk
22c4c8b5-9c60-4e20-9968-a886e2868da0,Drew Beck,Illinois,online,0.0,0,,0,Low Value,At Risk
32a6feeb-ac77-4fde-8a21-70869c6815e2,Kristin Lowery,Texas,in-store,3846.279,11,,0,High Value,At Risk
e9bd1176-329a-4737-9444-bfe8e8bd1dee,Chris Reyes,Florida,both,888.9300000000001,2,,0,Medium Value,At Risk
abda27bb-772c-4ed5-ba4e-a9bb0c376fc6,Alyssa Rogers,Massachusetts,online,2926.285,5,3.0,1,High Value,Neutral
c41b5601-4c95-46d5-abab-e7043248fb1d,Courtney Jones,Florida,online,6256.495000000001,7,2.0,1,High Value,Neutral
65ef3d0c-894e-447d-b59f-025307cabe1b,Jennifer Espinoza,Ohio,both,5371.706000000001,5,1.5,2,High Value,At Risk
de4b2497-46bb-4130-9cd6-f571e9f2fb65,Jeffrey Gross,Virginia,online,7011.538500000001,7,5.0,1,High Value,Satisfied
c9b0a5a5-5ffa-4f34-abce-cbe51ff24bd6,Kristi Black,Florida,online,40040.259999999995,2,3.0,1,High Value,Neutral
8ea18761-b9b3-47b5-b907-942665ba2b41,Barbara Lee,Arizona,online,4669.728999999999,4,3.5,2,High Value,Neutral
0733eb93-5068-4a55-82f3-17a77dd504e0,Brian Smith,New Jersey,online,1384.1309999999999,1,4.0,1,High Value,Satisfied
77227d43-31f5-4434-acf3-f02df29b0920,Terry Evans,New York,online,183.98000000000002,2,,0,Low Value,At Risk
7475b654-38a3-4c0c-baec-a8791a4f5e40,Crystal Mann,North Carolina,in-store,3827.477,5,,0,High Value,At Risk
1e5da653-be33-4961-9df8-abd2fd7a7040,Holly Bender,New York,online,1238.1280000000002,1,,0,High Value,At Risk
a406b62f-afe9-41d3-ad56-870aa703b3c1,Christopher Richards,New York,online,1736.42,1,,0,High Value,At Risk
e5a1f638-ab62-4848-b50b-074713573f20,Amy Stone,North Carolina,online,5850.8150000000005,7,,0,High Value,At Risk
420d30bf-5c49-4cd2-94e2-ad97d77ef0b9,Theresa Holland,Georgia,both,4868.677500000001,8,4.0,1,High Value,Satisfied
bd975e68-2907-4e5b-ad6c-713aaabe80f5,Tasha Kane,Pennsylvania,both,3650.42,2,,0,High Value,At Risk
c8c9e168-f444-4b91-9f0c-13373c3351c9,Alexis Thomas,Pennsylvania,online,0.0,0,,0,Low Value,At Risk
